Usernamve,Home_address_ID,Preferred_credit_card_ID,Cart_ID,Email,Password,Lname,Fname,Nick_name
vvanhaeften0,1,7,RKV8igMqYPF5EE46bvSyTLQXQKwytyxh,vvanhaeften0@chicagotribune.com,lCGQDg,Van Haeften,Vanny,vvanhaeften0
mrubertis1,4,1,MNgZcRNoNx9dFXt8jW8DfMDRNS8LdzTj,mrubertis1@sohu.com,HbAYlsXsvSsk,Rubertis,Marion,mrubertis1
dboden2,2,9,VlatCxov6exahBUQwVoZRYogcTrCqvHd,dboden2@reference.com,rsDseU,Boden,Devonne,dboden2
jletterese3,8,8,yGfKPzUdSJGTxtEfMkNZf5tQpTVn6bQm,jletterese3@sbwire.com,O1Ke5dj,Letterese,Jennine,jletterese3
klorenz4,6,7,81tzPVWD6K1zFGP9F6DPaHZlK85AEwKp,klorenz4@instagram.com,hjR0NCX13X,Lorenz,Karon,klorenz4
jverling5,16,3,blimNAdztSuJWS4kn5NakPArzYIBW5gS,jverling5@squarespace.com,IFSZxvO,Verling,Julio,jverling5
csmidmore6,3,4,zobWBKd7JujLXyuUGFibnUxSmlXnmkwW,csmidmore6@mail.ru,jvhFTgwwd,Smidmore,Chic,csmidmore6
rbeadnell7,11,4,U3HOBrzksLMqt8HcI7G1KgyhMQ7iR2AB,rbeadnell7@prnewswire.com,Mh7gdpbnV0,Beadnell,Randal,rbeadnell7
fkirkham8,12,9,OpenA9foKHHkvEEjt3N5XOwh9HOtpu8Y,fkirkham8@omniture.com,925od1p,Kirkham,Fax,fkirkham8
xinnis9,14,5,TEqJE9gv0YeBLmg7dQhzOz7Q96V7dbJx,xinnis9@spiegel.de,yqDMOxh,Innis,Xerxes,xinnis9
kgounya,7,7,5gAIpzUlqIgLl74mGb5nxctwZM3r1pRz,kgounya@hc360.com,1qRlSb,Gouny,Kellia,kgounya
kcrecyb,10,1,757r4Vfu5u5py6YzQuu6MZvn3hwIhubv,kcrecyb@columbia.edu,ooiiau,Crecy,Kevina,kcrecyb
gvallentinec,8,4,SQHQHd95p52P3JlED2paZJz0cHlQh49y,gvallentinec@businessweek.com,kLwcD3T4Ad5,Vallentine,Guthrie,gvallentinec
sbegleyd,16,8,A9VhZ55cp7ASMrkNTVeBJJTNfLQLcDLX,sbegleyd@hostgator.com,l2Dbx1eR,Begley,Savina,sbegleyd
zlantaphe,9,8,Sv0fIpZoKv9EXkkBcLx7Bb5tByFqLmWi,zlantaphe@sbwire.com,1j879Ql,Lantaph,Zara,zlantaphe
cwinnardf,8,9,SjuBbhiK6FS9NkpHQ4IpZWNFwOTn92ad,cwinnardf@japanpost.jp,9g9FsfmrE1U,Winnard,Cherye,cwinnardf
hpaytong,7,2,N7PvZthOM3FZmePZGuPX3F5oTkYhREqO,hpaytong@quantcast.com,0PvlHjp,Payton,Hunt,hpaytong
yartingstallh,6,5,aLCky3gBlRrETe0Xf3E2cb7LhZ5aC2Pa,yartingstallh@loc.gov,laqMpG,Artingstall,Yvonne,yartingstallh
nspenderi,3,3,JmtWej9wdCNrbC7yl1AvukZwr4r5wxNN,nspenderi@bigcartel.com,ukdX3BcG,Spender,Nealson,nspenderi
mjanczakj,6,5,vdbswbZHauFa5PXJN7l25JqgSqdkR1s6,mjanczakj@youku.com,BADW0TypBtLk,Janczak,Mollee,mjanczakj
bthringk,5,3,HKpYxvfoscOrKB6IMQ5MOgXXwGlmpbd1,bthringk@sbwire.com,qkyUPXTCwHmZ,Thring,Blaire,bthringk
arolfel,15,5,2ECQbTlehai7MgjCuf3BmYiVDpRHCYdA,arolfel@discuz.net,pR8hQ7,Rolfe,Abrahan,arolfel
kshitliffm,3,5,2ozlcwHD45JRV7xagGAJMPGTuTiDoxFy,kshitliffm@acquirethisname.com,TICQHG,Shitliff,Kaine,kshitliffm
mmeltetaln,16,1,2V32x4wgUVEZyxWSgHFjp3ajAlYbbMTa,mmeltetaln@icio.us,nHe54b7,Meltetal,Malvina,mmeltetaln
cbrooseo,2,7,f40MDjbnoEbQJPBfUH6X11ZhZ9Nyt5ec,cbrooseo@youku.com,3uVES4qPGZ,Broose,Carmine,cbrooseo
zsorrop,2,3,xGwiiFrlmh4cl8DW7MBH5Cm8XmU0i2n0,zsorrop@wikipedia.org,z4dTvYTzbN,Sorro,Zeb,zsorrop
jkornelq,5,4,u1FYLnwFikXIKR6KdYBi6R2NYCHR5cCQ,jkornelq@hugedomains.com,MaZ5RGI,Kornel,Jolynn,jkornelq
efaussetr,6,7,a28dzgCVxbUMY5DfwqKQNZfPOsZtL8aR,efaussetr@craigslist.org,DHyskXOGX4z,Fausset,Estevan,efaussetr
cascrafts,8,7,yc43NPuhEzy8s7VdSE4AiP1KuqA4cmJP,cascrafts@1688.com,CwT47p8,Ascraft,Clarie,cascrafts
dlumsdainet,9,8,pmuHfPbeqtM0yPhyrcmJmnDG84FnkRYt,dlumsdainet@ftc.gov,vMhXrk93ZZJ,Lumsdaine,Den,dlumsdainet
gantonucciu,5,3,KL5ginXGBUqIMMjEQZd4S4E4FN70Nf5e,gantonucciu@google.nl,iAyESDVIwwO,Antonucci,Greer,gantonucciu
adenslowv,10,9,TRP0noO8PacC6fOqU7FflhlX6oeHovbI,adenslowv@uiuc.edu,T1uIzzI,Denslow,Arlen,adenslowv
rdigiacomettinow,12,1,5RSjW7Grl11TAs8jnJRebbNWgMhqb7hM,rdigiacomettinow@digg.com,CLHC5g5,Di Giacomettino,Rey,rdigiacomettinow
darnaldox,10,5,OXAUi3syMBFaYZB8hJ0UfndS0CkFSiUd,darnaldox@twitter.com,bx247Ag,Arnaldo,Dulsea,darnaldox
jbilletty,4,5,lF4y1B0xWa35ddDKn5wJBSTm9gRrXLXv,jbilletty@netvibes.com,SBxXFVyB,Billett,Jade,jbilletty
ecamockez,14,4,E86LJorclposjQSkHuaDH3p3qS46bink,ecamockez@census.gov,u3uLNj,Camocke,Errol,ecamockez
idenyukhin10,12,3,ySN5UqpNi8VOmO7OwlkqKdYcVMa5J3fZ,idenyukhin10@mtv.com,4GIb0NPa1uQo,Denyukhin,Ivonne,idenyukhin10
dbuye11,2,5,HE9fbNJZLE048fFUUF53A0KgxB0UAWg6,dbuye11@themeforest.net,MaCQTmyDe2Z,Buye,Dyanna,dbuye11
iquarrell12,12,8,RoehArXEkR5wiFFY2rVSkIonACidXD9W,iquarrell12@clickbank.net,wdhzbVO2,Quarrell,Inglis,iquarrell12
